_geo,business_name,job_roles,title,salary_from,salary_to,postal_code
"[39.0770072, -84.1768795]",Alpha & Omega Computer & Network Service Inc,"['Business Development', 'Consultant', 'Customer Service', 'Design', 'Information Technology', 'Installation-Maint-Repair', 'Professional Services', 'Security', 'Strategy-Planning']",Systems Administrator,85000.0,95000.0,92648
"[43.4252776, -88.1834277]",Alpine Lakes Real Estate,"['Real Estate', 'Sales']",Real Estate Agent,,,3253
"[40.1226101, -75.0635049]","Altius Test Prep, LLC","['Education', 'General Business', 'Human Resources', 'Management', 'Science', 'Training']",Sr. Director of Mentoring & Student Success – Top Tier Secondary Ed Teachers Wanted (STEM),,,84604
,"Altius Test Prep, LLC","['Business Development', 'Customer Service', 'Education', 'Executive', 'General Business', 'Management', 'Sales', 'Training']","Sr. Regional Director – Future Regional VP, Senior Partner",80000.0,80000.0,84604
"[40.4275693, -79.9939418]",American Philanthropic,['Sales'],Account Executive,,,19380
"[45.5607986, -94.1624895]","American Target Advertising, Inc.","['Admin-Clerical', 'Professional Services']",Political Executive Assistant to the Chairman,50000.0,60000.0,20110
"[35.9250637, -86.86889]","American Target Advertising, Inc.","['Management', 'Media-Journalism']",Chief of Staff to the Chairman,,,20110
"[39.6477653, -104.9877597]","American Target Advertising, Inc.","['Marketing', 'Media-Journalism']",Digital Fundraising Copywriter,,,20110
"[39.6477653, -104.9877597]","American Target Advertising, Inc.","['Marketing', 'Media-Journalism']",Direct Response Copywriter - Postal Prospect,,,20110
"[35.9250637, -86.86889]","American Target Advertising, Inc.","['Marketing', 'Media-Journalism']",Direct Response Copywriter - Postal Housefile,,,20110
"[45.159967, -92.9932734]","American Target Advertising, Inc.","['Business Development', 'Marketing']",Direct Response Account Executive,,,20110
"[34.0522342, -118.2436849]",Ammel Optometry LLC,['Health Care'],Optician/Team Lead,31200.0,31200.0,66049
"[34.0522342, -118.2436849]",An E-Commerce Marketplace,"['Business Development', 'Construction', 'Executive', 'Management']",Director of Operations,70000.0,100000.0,
"[34.0522342, -118.2436849]",Anedot,"['Engineering', 'Information Technology']","Software Engineer (Backend, Ruby, Go)",140000.0,190000.0,
"[34.0522342, -118.2436849]",Anonymous,['Accounting'],Tax Preparer,40000.0,150000.0,66701
,Anonymous,[],AUDITOR,80000.0,150000.0,66701
"[38.6272733, -90.1978889]",Anonymous,['Legal'],Estate Planning Paralegal,52658.0,57073.0,78130
"[38.6272733, -90.1978889]",Anonymous,[],Connecticut - Work From Home Enrollment Specialist,72000.0,96000.0,
"[39.0437192, -77.4874899]",Anonymous,"['Accounting', 'Admin-Clerical', 'Human Resources']",Bookkeeper / Administrative Assistant,41600.0,47840.0,33838
"[34.0522342, -118.2436849]",Anonymous,"['Accounting', 'Admin-Clerical', 'Banking', 'Finance', 'General Business', 'Human Resources']",Payroll/HR/Benefits,47840.0,62400.0,83616
"[42.0333608, -88.0834059]",Anonymous,"['Business Development', 'Consultant', 'Facilities', 'Government', 'Management', 'Nonprofit-Social Services', 'Professional Services']",Conference Event Manager,,,
"[39.0916586, -104.872758]",Anonymous,"['Design', 'Entry Level', 'Marketing', 'Media-Journalism', 'Other']",E-Mail Marketing Coordinator,50000.0,55000.0,
,Anonymous,"['Entry Level', 'Finance', 'Marketing', 'Media-Journalism', 'Other', 'Telecommunications']",Fundraising Account Executive (entry/mid-level),50000.0,60000.0,
,Anonymous,"['Accounting', 'Admin-Clerical', 'Banking', 'Customer Service', 'Manufacturing']",Bookkeeper / HR for a Metal Manufacturing Company,,,60163
"[39.1156615, -77.5636015]",Anonymous,"['Accounting', 'Admin-Clerical', 'Finance', 'Human Resources', 'Management']",HR Specialist,50000.0,59999.98,
"[30.4507462, -91.154551]",Anonymous,"['Entry Level', 'Government', 'Marketing', 'Nonprofit-Social Services', 'Strategy-Planning']",Field Organizer/Canvasser Deployment - Republican Jobs,32000.0,33000.0,
"[39.1156615, -77.5636015]",Anonymous,['Management'],Campaign Manager,55000.0,60000.0,
"[33.5092103, -111.8990327]",Anonymous,"['Consultant', 'Management', 'Marketing', 'Media-Journalism']",Digital Senior Account Manager,120000.0,130000.0,
"[38.8951118, -77.0363658]",Anonymous,"['Consultant', 'Design', 'Marketing', 'Media-Journalism']",Digital Account Executive,90000.01,100000.0,
"[39.1156615, -77.5636015]",Anonymous,"['Consultant', 'Design', 'Marketing', 'Media-Journalism']",Digital Director,120000.0,130000.0,
,Anonymous,"['Finance', 'Legal', 'Strategy-Planning']",Program Manager,,,
"[34.0966764, -117.7197785]",Anonymous,"['Accounting', 'Consultant', 'Executive', 'Finance', 'Management']",Chief Financial Officer,180000.0,200000.0,
"[33.5092103, -111.8990327]",Anonymous,"['Accounting', 'Consultant']",Accountant,75000.0,100000.0,
"[40.9995386, -75.1812913]",Anonymous,"['Consultant', 'Government', 'Nonprofit-Social Services', 'Other']",Job Description: Staff Director - Education Non-Profit,70000.0,80000.0,
"[33.5092103, -111.8990327]",Anonymous,"['Government', 'Marketing', 'Nonprofit-Social Services', 'Other']",Senior Account Manager - Reputation Management firm,40000.0,60000.0,
,Anonymous,"['Finance', 'Government', 'Nonprofit-Social Services']",Marketing and Development Associate (Entry/Mid-Level),40000.0,45000.0,
"[38.8951118, -77.0363658]",Anonymous,"['Accounting', 'Human Resources']",Operations Manager,50000.0,70000.0,
"[33.5092103, -111.8990327]",Anonymous,"['Accounting', 'Executive', 'Government', 'Human Resources', 'Marketing', 'Other']",Marketing and Communications Director - Political Polling Firm,80000.0,110000.0,
"[33.5092103, -111.8990327]",Anonymous,"['Government', 'Nonprofit-Social Services', 'Other']",Part-Time Fundraising Scheduling Assistant,31200.0,37440.0,
"[33.5092103, -111.8990327]",Anonymous,"['Customer Service', 'Information Technology', 'Management']",Software Delivery Manager,,,
,Anonymous,"['Accounting', 'Consultant', 'Design', 'Executive', 'Government', 'Marketing', 'Other', 'Telecommunications']",Deputy Digital Director,60000.0,70000.0,78701
"[38.8951118, -77.0363658]",Anonymous,"['Consultant', 'Design', 'Entry Level', 'Government', 'Marketing', 'Media-Journalism', 'Nonprofit-Social Services', 'Other', 'Telecommunications']",Deputy Digital Director,42000.0,42000.0,
"[33.5092103, -111.8990327]",Anonymous,"['Consultant', 'Finance', 'Government', 'Professional Services']",Campaign Treasurer / Compliance Manager (Mid-level role),60000.0,80000.0,78701
"[33.5092103, -111.8990327]",Anonymous,"['Accounting', 'Finance', 'General Business', 'Government', 'Human Resources', 'Nonprofit-Social Services']",Operations Director,50000.0,70000.0,
"[38.8951118, -77.0363658]",Anonymous,"['Consultant', 'Finance', 'Government', 'Management', 'Nonprofit-Social Services', 'Other', 'Professional Services', 'Telecommunications']",Finance/Fundraising Coordinator/Account Manager,40000.0,60000.0,
"[33.5092103, -111.8990327]",Anonymous,"['Consultant', 'Design', 'Government', 'Other', 'Strategy-Planning', 'Telecommunications']",Client Strategy Manager,69999.99,75000.0,33101
"[33.5092103, -111.8990327]",Anonymous,"['Business Development', 'Customer Service', 'Nonprofit-Social Services']",Major Gift Officer,,,
"[33.5092103, -111.8990327]",Antioch Adoptions,"['Health Care', 'Hospitality-Hotel', 'Nonprofit-Social Services', 'Professional Services']","Foster Care Adoption Case Manager (BSW, MSW or PSYC req)",35360.0,35360.0,98052
"[33.5092103, -111.8990327]",Apex Roofing,"['Admin-Clerical', 'Business Development', 'Marketing', 'Sales']",Sales and Marketing Specialist,40000.0,50000.0,83843
"[33.5092103, -111.8990327]",Arche,"['Customer Service', 'Entry Level', 'General Labor', 'Other', 'Restaurant-Food Service', 'Skilled Labor']",Chef/Bar Back,22880.0,24960.0,76265
"[39.1156615, -77.5636015]","Architectural Design, Inc",['Design'],Draftsperson,62400.0,83200.0,2653
"[34.7303688, -86.5861037]",Arthur Murray Dance Studio Montclair,"['Customer Service', 'Entry Level', 'General Business', 'Hospitality-Hotel', 'Restaurant-Food Service']",Dance Instructor at Arthur Murray Montclair- No Experience Neccesary,,,7042
"[39.1156615, -77.5636015]",Asha Partners,[],Bookkeeper,40000.0,50000.0,
"[39.1156615, -77.5636015]",ASI Dental Specialties,"['Admin-Clerical', 'Engineering', 'Management', 'Manufacturing']",Administrative Assistant-Document Control,58240.0,58240.0,80124
"[33.5092103, -111.8990327]",Averio Health Institute,['Health Care'],Associate Doctor,70000.0,80000.0,98273
"[33.5092103, -111.8990327]",Averio Health Institute,"['Health Care', 'Restaurant-Food Service']",Kitchen Assistant for Healthcare Facility,33280.0,0.0,
,Bastion Recruiting LLC,[],Remote Recruiter,52000.0,58000.0,
"[36.1749705, -115.137223]",Bastion Recruiting LLC,[],Entry-Level Insurance Sales - Work From Home,62000.0,124000.0,
"[43.4252776, -88.1834277]",Baytek International,"['Design', 'Engineering', 'Information Technology', 'Management']",Software Engineer Project Manager ,100000.0,140000.0,
"[28.0836269, -80.6081089]",Baytek International,"['Engineering', 'Information Technology', 'Professional Services']",COMPUTER PROGRAMMER,,,78401
"[27.5214269, -82.5723193]",BBE Boggs Engineering LLC,"['Engineering', 'Professional Services']",AutoCad Designer,,,
"[27.5214269, -82.5723193]",BBE Boggs Engineering LLC,"['Engineering', 'Professional Services']",Land Development Engineer,,,33563
"[27.5214269, -82.5723193]",Beck and Cale Physical Therapy of Santa Maria,['Health Care'],Physical Therapist or PTA- Outpatient Clinic,,,93454
"[27.5214269, -82.5723193]",Behavioral Strides Therapy,"['Education', 'Professional Services']",Registered Behavior Technician,41600.0,41600.0,33484
"[27.5214269, -82.5723193]",Bell Insurance Services,"['Business Development', 'Consultant', 'Executive', 'Finance', 'Insurance', 'Management', 'Marketing', 'Sales']",National Accounts Manager,75000.0,100000.0,
"[48.3933561, -105.8822326]",Best Friends Veterinary Medical Center,[],Veterinary Receptionist,31200.0,37440.0,97239
"[48.3933561, -105.8822326]",Best Premium Brokerage Inc,"['Admin-Clerical', 'Customer Service', 'Insurance']",Account Executive,,,11204
"[33.6948279, -97.5225245]",Bethesda Health Clinic,['Health Care'],Nurse Practitioner,90000.0,105000.0,75702
"[45.0860765, -93.2632821]","BJM & Associates, Inc.","['Admin-Clerical', 'Entry Level', 'General Labor', 'Legal']",Legal Secretary,,,40509
"[32.8406946, -83.6324022]",Black Mountain Company,"['Engineering', 'General Labor', 'Manufacturing', 'Skilled Labor', 'Warehouse']",CNC Machine Machinist,45760.0,62400.0,
,Blitz Canvassing,[],Canvasser for DeSantis Presidential Campaign,41600.0,45760.0,
,Blitz Canvassing,[],Canvasser for DeSantis Presidential Campaign,20.0,20.0,
,Blitz Canvassing,[],Canvasser for DeSantis Presidential Campaign,20.0,20.0,
"[38.0682554, -120.5396457]",Blitz Canvassing,[],Canvasser for DeSantis Presidential Campaign,41600.0,41600.0,
"[39.0250683, -83.5329731]",Blitz Canvassing,[],Canvasser for DeSantis Presidential Campaign,41600.0,0.0,
"[29.4241219, -98.4936282]",Blitz Canvassing,[],Canvasser for DeSantis Presidential Campaign,41600.0,41579.2,
"[27.3364347, -82.5306527]",Blitz Canvassing,[],Canvasser for DeSantis Presidential Campaign,41600.0,41600.0,
"[27.3364347, -82.5306527]",Blitz Canvassing,[],Canvasser for DeSantis Presidential Campaign,41600.0,41600.0,
"[27.3364347, -82.5306527]",Blitz Canvassing,[],Canvasser for DeSantis Presidential Campaign,41600.0,41600.0,
"[27.3364347, -82.5306527]","Bobo Construction, Inc.","['Construction', 'Management']",Project Manager,90000.0,120000.0,95624
"[36.3320197, -94.1185366]",Bombadil Downs Naturopathic Medicine,['Health Care'],Self-starter in Health or Allied Medical Services to join Naturopathic Medicine Office,,,17543
"[32.725409, -97.3208496]",Boonzaaijer's Dutch Bakery,"['Customer Service', 'General Business', 'Grocery', 'Management', 'Restaurant-Food Service', 'Retail']",Lead Bakery Clerk,37440.0,41600.0,80907
"[40.8501002, -73.8662464]",BOYLES LAW,"['Admin-Clerical', 'Legal', 'Research']",Legal Analyst,,,83814
"[34.4954448, -77.5549696]",Bratney Companies/Aly Funk,"['Construction', 'General Labor', 'Management', 'Other']",Travelling Ag Millwright Foreman/Superintendent ,80000.0,120000.0,
,BRAVE Books ,['Marketing'],Head of Video,,,77385
"[41.7898313, -69.9897397]",Bravo intimates,"['Customer Service', 'Design']",Bra Fitter,,,48073
,Brian's German Auto,"['Admin-Clerical', 'Automotive', 'Business Development', 'Customer Service', 'Finance', 'General Business', 'Installation-Maint-Repair', 'Other', 'Professional Services', 'Purchasing-Procurement', 'QA-Quality Control', 'Retail', 'Telecommunications', 'Transportation']",Administrative assistant/receptionist for German automotive repair facility. ,35000.0,45000.0,70809
"[34.1477849, -118.1445155]",Buffer Insurance,"['Insurance', 'Sales']",Insurance Agent,,,76092
"[40.9312099, -73.8987469]",Bullseye Precision Bookkeeping,"['Admin-Clerical', 'Consultant', 'Entry Level', 'Finance']",Accounts Payable Data Entry,33280.0,41600.0,
"[40.7142691, -74.0059729]",Business Cleaning Solutions,[],Commercial Service Provider,12000.0,12000.0,83642
"[42.3442482, -75.1704468]",Cabinet & Stone City,"['Customer Service', 'Design', 'Retail', 'Sales']",Kitchen Designer / Sales Representative,,,30093
"[40.8501002, -73.8662464]",Cactus Asphalt,['Construction'],Entry Level Construction Laborers (No Construction Experience Necessary),,,
"[35.9606384, -83.9207392]",Cactus Asphalt,[],"CDL Class A Truck Driver (SPREADER, DUMP TRUCK & TANKER)",,,
,Cactus Asphalt,['Construction'],Milling & Grading Crew Members,43680.0,89440.0,85353
,Cactus Asphalt,['Construction'],Paving Crew Members,45760.0,89440.0,85353
"[42.245869, -84.4013462]",Campaign Nucleus,['Customer Service'],Customer Success Engineer,,,33301
"[38.8951118, -77.0363658]",Campaign Nucleus,[],Senior Quality Assurance Engineer ,,,
"[38.8951118, -77.0363658]",Campaign Nucleus,"['Engineering', 'Other']",Product Owner,,,33301
"[39.579155, -104.8769227]",Campaign Nucleus,['Engineering'],Senior Laravel Developer,,,
"[39.579155, -104.8769227]",Campaign Nucleus,[],Senior Developer - Bulk Email Delivery and Infrastructure (Laravel preferred),,,
"[35.780987, -78.3697213]",Campbell's Enrolled Agents & Co Inc,"['Accounting', 'Admin-Clerical', 'Business Development', 'Consultant', 'Customer Service', 'Finance', 'Human Resources']",Enrolled Agent / Certified Public Accountant,41600.0,62400.0,
"[33.6189101, -117.9289469]",CanaGlobal,"['Business Development', 'Sales']",Sales Business Development,,,
"[34.0522342, -118.2436849]",Candy Land Shop,"['Restaurant-Food Service', 'Retail']",Sales Associate,35360.0,35360.0,98188
"[39.9956193, -82.6743341]",Cantrell Center for Physical Therapy & Wellness,['Health Care'],Wellness Trainer/ Exercise Physiologist,,,
"[40.5852602, -105.084423]",Cape Candle,['Warehouse'],Warehouse Worker,24960.0,24960.0,33615
"[43.5009176, -70.4428286]",Capital Energy Group,"['Business Development', 'Entry Level', 'Management', 'Marketing', 'Sales', 'Training']",Entry Level Sales and Marketing ,60000.0,65000.0,60173
"[33.6189101, -117.9289469]",Caring Solutions of Central Georgia,"['Business Development', 'General Business', 'Health Care', 'Management', 'Marketing', 'Sales', 'Strategy-Planning']",Director of Advancement,,,31201
"[33.660297, -117.9992265]",Carlson Financial Group,"['Admin-Clerical', 'Customer Service', 'Entry Level', 'Finance', 'General Business', 'Insurance', 'Management', 'Other', 'Professional Services', 'Sales', 'Telecommunications']",Sales Specialist,55000.0,55000.0,
"[33.660297, -117.9992265]","Carolina Hearing and Tinnitus, PC","['Admin-Clerical', 'Customer Service', 'Entry Level', 'Hospitality-Hotel', 'Management']",Patient Care Coordinator,,,28677
"[34.1480621, -117.9989548]",Carolina's Mexican Food,"['Construction', 'Facilities', 'Installation-Maint-Repair', 'Restaurant-Food Service', 'Skilled Labor']",Maintenance Technician,50000.0,50000.0,85020
"[34.1480621, -117.9989548]",Carpet Mill,"['Construction', 'Entry Level', 'General Labor', 'Installation-Maint-Repair']",Floor Covering Installer Helper,31200.0,37440.0,83843
"[32.7830556, -96.8066667]",Caulbridge School,"['Admin-Clerical', 'Education', 'Management', 'Sales', 'Strategy-Planning']",Admissions Director,,,94903
"[33.6694649, -117.8231107]",Cazbah Total Internet Marketing Solution,"['Marketing', 'Other', 'Sales']",Sales Development Representative SDR - REMOTE,31200.0,41600.0,
"[33.6694649, -117.8231107]",CedarOak Kennels,['Entry Level'],Service Dog Trainer Apprentice,,,62298
,Cenikor Foundation,"['Executive', 'Management', 'Nonprofit-Social Services']",Program Director - Dallas TX,,,75201
"[32.7153292, -117.1572551]",Cenikor Foundation,"['Health Care', 'Nonprofit-Social Services']","Outpatient Counselor (LCDC Required) (3k Sign on Bonus) - Full Time - Dallas, TX",,,75201
"[35.1740471, -79.3922539]",Cenikor Foundation,"['Health Care', 'Management', 'Nonprofit-Social Services']","Clinical Manager (LPC, LCSW or LMFT Required) 10K Sign on Bonus- Full Time- Farmington, NM",,,87401
"[38.4087993, -121.3716178]",Cenikor Foundation,"['Health Care', 'Nonprofit-Social Services']","Documentation Clerk -Full Time - Houston, TX",,,77043
"[38.9342776, -77.1774801]",Cenikor Foundation,"['Nonprofit-Social Services', 'Security']","Behavioral Health Technician - Full Time - Dallas, TX",,,75201
"[38.6122751, -90.4634532]",Cenikor Foundation,"['Nonprofit-Social Services', 'Other']","Outpatient Counselor (LCDC Required) (3k Sign on Bonus) - Full Time - Dallas, TX",,,75201
"[26.7153425, -80.0533746]",Cenikor Foundation,['Health Care'],"Nurse Practitioner - Contract- Deer Park, TX",,,77043
,Cenikor Foundation,['Health Care'],"Admissions RN - PRN - Deer Park, TX",,,77043
"[41.6005448, -93.6091064]",Cenikor Foundation,"['Executive', 'Nonprofit-Social Services']","Program Manager for Outpatient Program – Amarillo, Texas",,,79106
"[39.9611755, -82.9987942]",Cenikor Foundation,"['Health Care', 'Other', 'Restaurant-Food Service']","Cook (3000 SIGN ON BONUS) - (16-17/hr) - Part Time - Austin, TX 78728",,,78728-7619
"[35.772096, -78.6386145]",Cenikor Foundation,"['Health Care', 'Nonprofit-Social Services', 'Nurse', 'Other']","Licensed Vocational Nurse - PRN - Austin, TX 78728",,,78728-7619
"[37.7396513, -121.4252227]",Cenikor Foundation,"['Health Care', 'Nonprofit-Social Services']","Certified Medical Assistant- Part-Time - Corpus Christi, TX",27040.0,27040.0,78408
,Cenikor Foundation,"['Health Care', 'Nonprofit-Social Services', 'Nurse']","Licensed Practical Nurse (LPN) - Part Time - Farmington, NM 87499",,,87401
"[37.6624312, -121.8746789]",Cenikor Foundation,"['Health Care', 'Nonprofit-Social Services', 'Nurse']","Licensed Practical Nurse (LPN) - Full Time - Farmington, NM 87499",,,87401
,Cenikor Foundation,"['Health Care', 'Nonprofit-Social Services', 'Nurse']","Nurse Practitioner - Contract - Farmington, NM 87499",,,87401
"[35.1916356, -117.5767246]",Cenikor Foundation,"['Health Care', 'Nonprofit-Social Services']","Counselor II (LADAC Required) - Full Time - Farmington, NM 87499",,,87401
"[37.3393857, -121.8949555]",Cenikor Foundation,"['Business Development', 'Nonprofit-Social Services', 'Real Estate', 'Sales']","Business Development Manager - Full Time - Waco, TX",,,76708
"[33.4483771, -112.0740373]",Cenikor Foundation,"['Health Care', 'Nonprofit-Social Services', 'Nurse', 'Professional Services']","Nurse Practitioner - Contract - Waco, TX - 76708",,,76708
"[32.7830556, -96.8066667]",Cenikor Foundation,"['Health Care', 'Nonprofit-Social Services', 'Other']","Clinical Manager -  LCDC/LMSW - Full Time - Waco, Texas 76708",,,76708
"[46.7323875, -117.0001651]",Cenikor Foundation,"['Health Care', 'Nonprofit-Social Services']",(2000 Sign-On Bonus) Counselor (LCDCi Required)  -Full Time - Waco,,,76708
"[36.0396988, -114.9819368]",Cenikor Foundation,"['Health Care', 'Nonprofit-Social Services']","Certified Medication Aide - Full Time - Waco, TX 76708",,,76708
"[38.9784453, -76.4921829]",Cenikor Foundation,"['Health Care', 'Nonprofit-Social Services', 'Nurse']","Charge Nurse - (RN) Full-Time - Waco, TX 76708",,,76708
"[43.5342379, -72.3562023]",Cenikor Foundation,"['Nonprofit-Social Services', 'Nurse']","Licensed Vocational Nurse - PRN - Tyler, TX",41600.0,41600.0,75702
"[46.7323875, -117.0001651]",Cenikor Foundation,"['Nonprofit-Social Services', 'Nurse']","Nurse Practitioner - Contract - Tyler, TX - 75702",,,75702
,Cenikor Foundation,"['Nonprofit-Social Services', 'Nurse']","Licensed Vocational Nurse - Part Time - Tyler, TX",41600.0,41600.0,75702
"[33.6694649, -117.8231107]","Chain Bridge Bank, N.A.",[],Deposit Operations Specialist,,,22101
"[32.2217429, -110.926479]","Chain Bridge Bank, N.A.",['Accounting'],Accounting Assistant,,,22101
"[45.5234515, -122.6762071]",Charisma Media,['Admin-Clerical'],Administrative Assistant to Founder and CEO,45000.0,47000.0,32725
"[38.8338816, -104.8213634]",Children's Health Defense,[],Digital Services Assistant,52000.0,66560.0,
"[26.1223084, -80.1433786]",Children's Health Defense,[],Social Media Manager,68640.0,83200.0,
"[33.660297, -117.9992265]",Children's Health Defense,[],Travel Coordinator,62400.0,83200.0,
"[41.0031141, -80.7856355]",Children's Health Defense,[],Videographer/ Editor,52000.0,72800.0,
,Children's Health Defense,[],Video Editor,52000.0,72800.0,
