address1,address2,business_name,country_code,id,job_roles,job_summary,job_type,pay_period,pay_structure,postal_code,posted_datetime,qualifications,remote_type,responsibilities,tags,title,_geo,city,region,salary_from,salary_to
"111 1st St. Moscow, ID 83843",,RedBalloon LLC,US,5773,"['Consultant', 'Customer Service', 'Human Resources', 'Management', 'Professional Services']","Given the nature of the position, RedBalloon is only considering candidates who can work in office. For the right candidate, we are open to a part-time arrangement of at least 20 hours/week in-office.About UsWe're hiring! All over the country, a new kind of workplace is emerging. Employees are rediscovering the joy of work. Employers are pioneering new businesses that prioritize freedom. RedBalloon broke records in 2022 by becoming the largest pro-freedom job board in the country. We're expanding in 2023 and need a dedicated Account Manager to help us serve prominent clients that want to build their workforce.What We're Looking ForIf you...Have 2+ years of experience in a client-facing Account Management, HR, Recruiting or consultant roleHave a bias toward organization: youmanage multiple tasks well, and meet deadlines easilyHave people skills: you connect with people easily, and people like talking to youHave a backbone: you can set expectations with clients, and are able to be firm when neededNice to have: Management experience: you're familiar with what makes great employees, and you've spent significant time hiring and managing people... You might be a great fit for this role!Duties &amp; ResponsibilitiesMaintain relationships with RedBalloon Premium clientsWork with clients to create strategic goalsReport on RedBalloon progress toward client goalsBecome a hiring expertInterview Job-Seekers on behalf of RedBalloon and write up recommendationsDevelop methods for continuously improving our Premium serviceReport internally on client relationship healthHave questions? Contact us at aaron@redballoon.work","['Full-time', 'Part-time']",annual,salary,,1686353516,nan,Location-based,nan,[],Account Manager,"[46.7323875, -117.0001651]",Moscow,ID,50000.0,60000.0
,,EBizCharge ,US,8275,"['Business Development', 'Sales']","We are expanding and looking for a talented and competitiveBusiness Development Representativethat thrives in a quick sales cycle environment. You must be comfortable making a high volume of calls per day, generating interest, qualifying prospects, and setting appointments.",['Full-time'],hourly,salary,,1686348550,"Prior B2B lead generation sales experience is preferred not required.Willing to learn and is coachableAn upbeat, positive and enthusiastic attitudeIs a great self-starter with a sense of urgencyHas excellent communication/interpersonal skillsSome sales experience is preferred but not required",Remote,Qualify prospects and set product demonstration appointments.Demonstrate comprehensive understanding of the various proprietary integrated solutions available from Century.Manage time effectively in order to meet daily phone time requirements.Learn our CRM/data system.,[],Business Development Representative  ,,,,37440.0,45760.0
20 Pacifica,Suite 1450,EBizCharge ,US,8274,"['Admin-Clerical', 'Banking', 'Customer Service']","EBizCharge is the leading ERP and Accounting B2B integrated payment solution in the United States and Canada. EBizCharge, integrates with over 100+ accounting, ERP, CRM, and ecommerce platforms including QuickBooks, Sage, SAP B1, Netsuite, Epicor, Microsoft Dynamics, Acumatica, Oracle, Salesforce, Zoho, Magento and WooCommerce. EBizCharge is partnered and certified with Microsoft Dynamics, Acumatica, SAP, Oracle, QuickBooks, Salesforce, WooCommerce, Magento, and many more.Headquartered in Irvine, CA, EBizCharge offers its employees unlimited earning potential, career advancement opportunities, and a lively work environment. In ourService Administratorrole, you will provide support to customers and the internal departments by doing virtual demonstrations of our software products for our customers.Training is provided; however, good written, verbal communication skills and general computer skills are required.",['Full-time'],hourly,salary,92618,1686348402,"· Self-starter with the ability to learn fast and work independently as well as within a team · Prior experience with training and/or demos on products or software is strongly desired · Good work ethic and flexible hours · Strong proficiency in Microsoft Excel, Word, Outlook and computer savvy · Comfortable working with a wide variety of professionals · The duties and requirements listed above should not be interpreted as all-inclusive. Additional functions may be assigned as deemed appropriate · Must have strong communication skills",Location-based,"· Perform software demonstrations showing potential clients how our product/service works · Work collaboratively with Senior Management, Software Development, Project Management, Sales teams, and any other members of various departments · Assist Support team by reviewing records, following up with customers, and submitting paperwork related to their cases and support via remote session · Maintain accurate records of all contacts and activities in the company’s various databases · Submit paperwork related to new accounts and perform maintenance activities for current clients in a timely manner",[],Service Administrator ,"[33.6694649, -117.8231107]",Irvine,CA,37440.0,62400.0
,,"Delta Defense, LLC",US,8273,['Sales'],"Get ready to sell a product you can FINALLY BELIEVE in!Do you want to earn UNCAPPED commissions?Do you support the natural-born right to self-defense?Do you have a strong belief in the 2nd Amendment?Delta Defense, LLC is the private company that provides Marketing, Operations and Customer Service for the USCCA.The USCCA helps responsible Americans avoid danger, save lives, and keep their families safe.This role provides:Competitive base salary with UNCAPPED commissions$5,500 in bonuses upon successful completion of trainingMileage reimbursement for all work-related mileage and car allowanceAdditional allowance for your cell phoneFull, comprehensive benefits packagePaid training, plus ongoing trainingPromotion opportunitiesCompany-provided equipment and branded apparelPotential to earn Top Shots Sales tripPosition Summary:As a Delta Defense Account Executive, you will create a robust pipeline through pursuing, building, and maintaining professional relationships with gun ranges, retailers, and firearms instructors in your territory. Through those relationships, you will share the USCCA story in group presentations. By using effective closing techniques you will provide individuals with education, training, and self-defense liability insurance benefits through USCCA membership.",['Full-time'],annual,salary,,1686341749,"Bachelor’s degree or relevant work experience preferredMust pass State Property &amp; Casualty Insurance exam following company provided trainingVisionary, entrepreneurial-minded professional with strong interpersonal &amp; leadership skillsPersuasive presentation skills with experience presenting to large audiencesStrong analytical and problem-solving skillsAbility to draw conclusions and make solid recommendationsExperience growing a territory through prospecting and pipeline managementExceptional negotiation skillsSelf-motivated with strong organizational skillsFamiliar with Salesforce and Google products suiteHigh level of professionalism and confidentialityProven ability to communicate and work effectively with a diverse range of people at all levels and functions of the organizationDemonstrate the Core Values of Delta Defense, LLC",Location-based,"Prospect for new businessBuild and maintain client baseSell USCCA Memberships at CCW (Concealed Carry Weapons Permit) classes (along with other firearms classes), and at brick &amp; mortar stores/rangesExecute the organization's outside sales programEnsure the successful achievement of Delta’s sales goals across the nationRequires evening and weekend hoursTravel within your territory, home every night (with minimal exceptions)Provide an unprecedented customer experienceTerritory:Tucson, Arizona",[],"Outside Sales - Firearms Industry - Tucson, Arizona","[32.2217429, -110.926479]",Tucson,AZ,,
123 S Hamilton Street,,Best Friends Veterinary Medical Center,US,8270,[],"We are looking for a Receptionist to join our fabulous team to help manage our front desk on a daily basis and to perform a variety of administrative and clerical tasks. As a Receptionist, you will be the first point of contact for our clinic. Our Receptionist’s duties include offering administrative support across the organization. You will welcome guests and greet people who visit the business. You will coordinate front-desk activities, including distributing correspondence and redirecting phone calls. To be successful as a Receptionist, you should have a pleasant personality, as this is also a customer service role. You should be able to deal with emergencies in a timely and effective manner, while streamlining office operations. Multitasking and stress management skills are essential for this position. This role may require working in shifts, so flexibility is a plus. Ultimately, a Receptionist’s duties and responsibilities are to ensure the front desk welcomes guests positively, and executes all administrative tasks to the highest quality standards.Our culture is:Detail-oriented -- quality and precision-focusedPeople-oriented -- supportive and fairness-focusedTeam-oriented -- cooperative and collaborativeAnd all oriented around the love of helping dogs and cats.",['Full-time'],hourly,salary,97239,1686336221,"Most importantly--a love of helping animals and their owners! No prior veterinary clinic experience is needed, but we are looking for someone with at least one year working in the business world as a receptionist or front office representative, experience answering phones.Important skills to have include:Proficiency in Microsoft Word and ExcelHands-on experience with computers and office equipmentProfessional, customer service attitude and appearanceSolid literacy level with good written and verbal communication skillsAbility to be resourceful and proactive when issues ariseExcellent organizational skillsMultitasking and time-management skills, with the ability to prioritize tasks",Location-based,"Greet and welcome guests as soon as they arrive at the officeDirect visitors to the appropriate person and officeAnswer, screen and forward incoming phone callsPlace calls and make appointments for clients whose pets are due for careEnsure reception area is tidy and presentable, with all necessary stationery and material (e.g. pens, forms and brochures)Provide basic and accurate information in-person and via phone/emailPerform other clerical receptionist duties such as filing, scanning, transcribing and faxingProcess payments, handle purchasing",[],Veterinary Receptionist,"[45.5234515, -122.6762071]",Portland,OR,31200.0,37440.0
610 E Fillmore Street,,Boonzaaijer's Dutch Bakery,US,8269,"['Customer Service', 'General Business', 'Grocery', 'Management', 'Restaurant-Food Service', 'Retail']",Supervise and lead by example and attitude in the serving of customers,['Full-time'],hourly,salary,80907,1686325594,"Service oriented, detailed, multi-tasker, available for all shifts between 6 a.m. and 6:30 p.m. Standing 8 hours, lifting 25 pounds.",Location-based,"Counter service, barista service, packaging, staff training",[],Lead Bakery Clerk,"[38.8338816, -104.8213634]",Colorado Springs,CO,37440.0,41600.0
1512 E Broward Blvd,,Campaign Nucleus,US,8268,"['Engineering', 'Other']","Company Overview:Campaign Nucleus specializes in developing cutting-edge marketing and political campaign automation software that empowers campaigns to streamline their operations. Our innovative platform combines data analytics, customer segmentation, and marketing tools to deliver exceptional results. We are seeking a talented and motivated Product Owner to join our dynamic team and drive the development and enhancement of our flagship product.This position is based in South Florida and will require in-office availability.",['Full-time'],annual,salary,33301,1686323870,"Qualifications·Bachelor's degree in computer science, engineering, business, or a related field (or equivalent practical experience).·Proven experience as a Product Owner, Product Manager, Scrum Master, or similar role in an agile software development environment.·Strong understanding of marketing automation, campaign management, or related domains.·Excellent communication and collaboration skills to work effectively with cross-functional teams and stakeholders.·Analytical mindset with the ability to gather and interpret data to make informed product decisions.·Solid knowledge of agile methodologies and experience with agile tools (e.g., JIRA, Confluence).·A customer-centric approach with a passion for delivering exceptional user experiences.·Strong organizational and time management skills to handle multiple priorities and meet deadlines.",Location-based,"What You’ll Do:·Product Strategy: Develop a deep understanding of the market, customer needs, and competitive landscape to drive the product strategy and roadmap for Campaign Nucleus.·Requirement Gathering: Engage with customers, stakeholders, and internal teams to gather requirements, analyze user feedback, and identify opportunities for product improvement and innovation.·User Story Creation: Transform business requirements into clear, concise, and actionable user stories, ensuring alignment with development goals and customer expectations. Write testable acceptance criteria for effective validation and quality assurance.·Prioritization: Understand the priorities of the business and marketing teams and collaborate with the development team to prioritize features and enhancements based on customer value, business impact, technical feasibility, and market demand.·Roadmap Planning: Define and communicate the product roadmap, ensuring alignment with company objectives and customer needs.·Cross-Functional Collaboration: Work closely with engineering, design, and marketing teams to ensure effective coordination and execution of product development initiatives.·Agile Development: Act as a liaison between the development team and stakeholders, participate in agile ceremonies (e.g., sprint planning, daily stand-ups), and provide timely clarifications and guidance.·Product Testing and Quality Assurance: Collaborate with the QA team to define acceptance criteria and conduct user acceptance testing to ensure product quality and adherence to requirements.·User Experience: Champion the user experience and usability of the software, collaborating with design teams to create intuitive interfaces and workflows.·Product Evangelism: Serve as a product expert, delivering product demonstrations, participating in customer meetings, and gathering feedback to continuously improve the product. Conduct product training sessions for internal teams and external customers to enhance their understanding and proficiency in using Campaign Nucleus.·Product Documentation: Develop and maintain comprehensive product documentation, including user guides, feature descriptions, and release notes. Ensure documentation is accurate, up-to-date, and easily accessible for internal teams and customers to support effective product usage and communication.",[],Product Owner,"[26.1223084, -80.1433786]",Fort Lauderdale,FL,,
7271 Mars Drive,"Huntington Beach, CA","Golden Construction, Inc.",US,8267,['Construction'],"Golden Construction, Inc. is growing into a leader in healthcare construction. We are currently licensed in California, Nevada, Utah, Hawaii and expanding even further. We are looking to hire an experienced Project Estimator to join our growing team and support our project management team. If you're a hard-working professional and want to enjoy where you work and who you work with then Golden Construction is the perfect company for you. Apply now!",['Full-time'],annual,salary,92647,1686257522,Construction Estimating: 3 years (Required)OSHPD: 1 year (Required),Location-based,"●Accept bid invitation - load plans to project distribution platform (Bidmail or Building connected).●Organize subcontractors on job walks. Visit sites for Owner’s job walks.●Create folders &amp; compile site photos, markups, etc.●Create and Manage all Bid RFI's.●Review plans for all scope and design intentions - send scope out to all subcontractors and vendors.●Compile all bids - check quantities and scope for accurate cost●Create estimated project schedule for accurate General conditions●Review bid with Sr. Management prior to sending to Client●After project is awarded, select &amp; buyout subcontractors, assist with contracting, coordinate turnover meeting Project Management team●Help grow our estimating dept. - Our process is always evolving... new fresh ideas to improve is always welcome●Projects range from Ground up construction to simple tenant improvement or remodel projects●Must be computer proficient - email - outlook, Excel, word, Microsoft project for scheduling●2 -4 Years minimum General Contractor estimating experience required to apply - Healthcare experience is a plus●Grow client relations &amp; maintain existing relationships.",[],Construction Project Estimator,"[33.660297, -117.9992265]",Huntington Beach,CA,70000.0,120000.0
,,Anonymous,US,8265,[],"CONNECTICUT - Work From Home Enrollment Advisor**You must be a resident of the state of Connecticut to be considered for this position.**We are looking for motivated people to join our team as Work From Home Enrollment Advisors. You will assist various organizations, credit unions, and veterans' groups with their benefits. You will be enrolling members in comprehensive care programs, financial benefits, and insurances.This position operates on a contractor basis. You will have the flexibility to work from home. You will have the autonomy to manage your own schedule to meet enrollment targets.We commit to providing equal opportunities for all and value diversity . If you are seeking a rewarding and challenging career as a Work From Home Enrollment Advisor and commit to success, we invite you to submit your resume for consideration. Join our growth-focused and dynamic workplace!Annual Earnings between $72,000 - $96,000 based on prior experience and performance.","['Full-time', 'Part-time', 'Contract', 'Seasonal']",annual,commission,,1686240732,"Qualifications:Excellent communication skills to engage with clients and provide clear explanations.Ability to work solo and as part of a team, adapting to various situations.Results-oriented mindset with a focus on achieving enrollment goals and delivering quality service.Strong organizational skills.Attention to detail to ensure accurate documentation and timely follow-up.Previous customer service experience is a plusDemonstrating your ability to meet client needs.",Remote,"Responsibilities:Engage with members to explain and enroll them in their requested benefits programs.Customize benefit plans to suit the needs of each client, providing personalized solutions.Maintain strong relationships with existing and new clients.Ensuring members' confidence in their enrollments.Perform administrative duties related to client enrollment and documentation, maintaining accurate records.Enroll niche market clients in exclusive benefit programs, offering them specialized options.Manage benefits for union and association members, providing ongoing support.Provide exceptional customer service and address inquiries on employee benefits.Ensure accuracy and completeness of all documentation, adhering to compliance standards.Resolve routine and complex benefits issues, finding effective solutions.Collaborate with team members, sharing insights and best practices.",[],Connecticut - Work From Home Enrollment Specialist,,,CT,72000.0,96000.0
,,The Bahnsen Group,US,8263,"['Accounting', 'Admin-Clerical', 'Consultant', 'Finance', 'General Business', 'Management']","The Bahnsen Group (TBG) is looking for a Tax Associate to join their Tax Department in Newport Beach, CA. The role is a full-time, in-office position. The Tax Associate will work with experienced CPAs and have ample opportunity to grow into a Senior Tax Consultant within the Tax Department.",['Full-time'],annual,salary,,1686181235,"Bachelor’s degree in finance, tax, accounting, or economics1-3 years of tax season experience in an established accounting firmExperience with tax preparation softwareDetail orientedStrong work ethic",Location-based,Lead all administrative and reporting duties for the Tax Department.Facilitate the onboarding process of new tax clients.Collect data from clients for tax projections and tax preparation purposes.Submit tax filings and file extensions by deadlines.Perform initial data entry &amp; analysis for tax returns and tax projections.Assist Senior Tax Consultants with analyzing individual and business tax returns to find opportunities and inefficiencies.Research federal and state income tax issues and prepare written responses to client questions with support from Senior Tax Consultants.,[],Tax Associate,"[33.6189101, -117.9289469]",Newport Beach,CA,50000.0,80000.0
,,"Woodside Temporaries, Inc.",US,8262,"['Construction', 'General Labor', 'Government', 'Manufacturing', 'Skilled Labor']",The U.S. House of Representatives is seeking temporary proficient Cabinet Makers to build cabinets in Washington D.C. for 3-6 months.,"['Seasonal', 'Temp']",hourly,salary,,1686173362,"Must have prior cabinet building experienceMust be able to pass a background checkMust be hardworking, diligent, and professional",Location-based,"Select materials, fittings, and toolsPlan an efficient approach to work is critical to completing each project on timeAssemble cabinetsCut and fix glass panes in cabinetsSeal, varnish, and paint cabinets as neededInspect each completed item to ensure proper construction and application of necessary finishesVerify all calculations to ensure proper alignment of doors, hinges, and side panels, always referencing blueprintsClean and repair all tools used in your work, including handsaws, table saws, skill saws, and a variety of drills and sanding toolsInstall necessary hardware, such as hinges and handles, and place replacement orders as necessaryEnsuring a safe working environmentDesign and creating drawings for various types of furnitureUse hand, power, and computer-controlled tools to cut, shape, and join the wood",[],Cabinet Maker,"[38.8890009, -77.0002537]",Capitol Hill,DC,49920.0,62400.0
,,The Heritage Foundation,US,8261,['Other'],"At The Heritage Foundation, we are committed to investing in America’s next generation of leaders. Each semester, we hire and pay 50+ young conservatives who are committed to the principles of individual freedom, free enterprise, limited government, traditional American values, and a strong national defense. Heritage interns learn from The Boyce-Haller First Principles Lecture Series, a weekly briefing on the foundations of American political thought, weekly briefings with Heritage policy experts on foreign, economic, and domestic policy issues, and practical skills workshops on topics such as resume and cover letter writing, Capitol Hill, and op-ed writing. Individual department placement includes foreign, economic, and domestic policy research, law and constitutional studies, communications, journalism, government relations, outreach, event planning, and business operations.Fall Interns may work full-time (up to 37.5 hours per week) or part-time (a minimum of 22.5 hours per week), to be determined on a case by-case basis. All interns will be paid an hourly wage of $13. The fall semester begins on September 5th and ends on December 8th. Applications will be reviewed on a rolling basis with an early review deadline of June 30 and final deadline of July 15.",['Intern'],hourly,salary,,1686167171,nan,Location-based,nan,[],Fall Internship,"[38.8951118, -77.0363658]",Washington,DC,27040.0,0.0
,,Hotze Health & Wellness Center,US,8260,"['Admin-Clerical', 'Business Development', 'Design', 'Marketing']","The Marketing Generalist reports to the Sales and Marketing Vice President. Collaboration and expertise in the areas of creating, planning, and executing marketing strategy, monthly, quarterly, and annual plans for our three businesses (Hotze Health &amp; Wellness Center, Physicians Preference Vitamins and Physicians Preference International Pharmacy). This position serves both internal and external customers for all marketing communications and tactics. In addition to strategy and planning, the Marketing Generalist is accountable to monitor market trends and measure results of both traditional and digital tactics. This is a hands-on position which requires extensive experience in executing traditional and digital / social media marketing tactics via various platforms. Direct accountability to execute includes but is not limited to, designing, and creating marketing tactics/materials (email, text, flyers, posters, brochures, event invites, postcards, etc.), advertisement/content (magazine, radio, and social media - both video and static image ads), educational and promotional events (on-site and virtual, i.e., Facebook Live and/or Premier), webinars, podcasts, conferences, etc. This individual will collaborate with all members of the marketing and sales team, related department heads, and vendors/agencies to strengthen and promote the image, position, and message of assigned services and departments. The main goal of this position is to drive creative marketing and respective analysis to garner quality leads to drive new guests to our Hotze Health &amp; Wellness Center, Vitamin Store, and Pharmacy, enabling each business to achieve and/or exceed their respective targets and goals.",['Full-time'],annual,salary,,1686160086,"CREDENTIALSBachelor's degree in marketing or business communications preferredMinimum 5 years of experience in marketing (preferably with upscale agency or luxury brands)Proficient in Microsoft Office applications (Word, Excel, PowerPoint, Outlook)Knowledge and experience delivering email campaigns via Active Campaign/Salesforce/Klaviyo and/or mirror like platforms to ensure a quick learning curveBasic knowledge of Adobe Creative Suite applications, including Photoshop, Illustrator, InDesign, Acrobat Pro a plusExperience with SEM (Facebook, Instagram, LinkedIn, Google Ads, etc.) and display advertising campaign, including Facebook Live and Premier Events.Experience with SEO analysis, corrective actions, and executionFamiliarity with web-based CMS and marketing analytics tools (Google Analytics)KNOWLEDGE &amp; SKILL REQUIREMENTSAstute attention to detail and accuracyCreativity: Writing (specifically marketing copy); New Ideas to generate business growth in the form of marketing outputs/campaigns/activity; and Design.Specific Plan Development: Create, execute, and measure targeted plans and campaigns (i.e., Acquisition, Winback, Retention, Executive Edge etc.)Excellent verbal and written communication skillsExcellent time management and organizational skillsExcellent analytical skills with ability to recognize and articulate areas of opportunity and recommend resolution(s)Excellent presentation skillsProfessionalism and collaborator attitudeAbility to be flexible and adaptable (availability to work outside normal business hours to work tradeshows, conventions, and conferences)Ability to multitask and manage competing priorities under minimal supervisionIdentify trends and insights, and optimize spend and performance based on the insightsAble to think critically and exercise independent judgment and discretionTechnologically savvy and resourcefulSelf-motivated, initiative-taker with a learning attitude and a sense of urgencyA passion for delivering clever work and meaningful results",Location-based,"Under the direction of Marketing Leadership, implement marketing plans for assigned services and internal departments to include collateral creation, budget administration, KPI measurement/associated analysis and monthly reporting. Delivers measurable results that drive top and bottom-line growth.Proactively coordinate collateral material updates in coordination with department managers.Analyzes research and identify the new opportunities most likely to offer a maximum return on investment.Write, copy edit, proofread, and repurpose content marketing deliverables (i.e., collateral, web pages, blog posts, emails, text messages, advertising which includes magazines, radio scripts, in house video production and all social media)Develop and manage a rich content/editorial/social media calendar that attracts a qualified audience and obtains quality leads for our businesses.Recommends marketing strategy adjustments to meet changing market/competitive conditions.Performs routine reporting and analytics, monitoring industry trends and best practices, executes marketing tactics, maintains marketing materials, and provides event support.",[],Marketing Generalist,"[29.7857853, -95.8243956]",Katy,TX,58000.0,60000.0
6141 Stark Rd,,Patriot Docks,US,8225,"['Accounting', 'Distribution-Shipping', 'Entry Level', 'Inventory', 'Manufacturing']","Process inventory by shipping, organizing, assembling, and reworking boat dock parts in the shipping facility. ","['Full-time', 'Seasonal']",hourly,salary,55032,1686156221,"Ability to work safely and comfortably with warehousematerials, construction materials, and shipping materialsExcellent communication skills and ability to work with a team with a good attitude.Attention to detail with accurate inventory counts and small to medium volume construction and rework projectsAbility to lift boxes, pallets, and some heavy inventory.Ability to stay organized and efficient.Proficient in working with standard power tools and equipment.",Location-based,"Shipping:Assemble dock parts to prepare for shippingPackage and palletize shipmentsShip dock and parcel orders on-time and correctly according to the bill of materialsLoad skids and boxes for delivery truckersWarehouseinventory managementOrganize and counting warehouse inventoryWork on projects as assigned by Warehouse SupervisorMaintain a safe working environmentKeep tools and equipment in good working orderCommunicate with the Warehouse Supervisor regarding the inventory,shipping supplies, and issues with productsCoordination with truckers and customersAssist with customer service by preparing shipping documents as directed by the Warehouse SupervisorAssist with product rework as directed by the Warehouse Supervisor",[],Warehouse Worker,"[45.5863499, -92.9746598]",Harris,MN,33280.0,47840.0
265 6th St,,Werkz LLC,US,8224,[],"Dark times call for light bearing holsters. At Werkz LLC, we build precision fit holsters for pistols with lights. Our customer service team members help customers equip themselves with lifesaving gear. CS provides a critical link between market needs and our product portfolio. As part of the CS team, you will engage through email, phone, social media, and other channels with the goal of providing clear answers to questions, assistance with product selection, exchange authorizations, and website updates. In addition, customers provide us with valuable information during each engagement, and you’ll communicate customer requests to our design and management teams. This position requires strong listening and analytical skills, clear written and verbal communication, and the ability to interface with multiple computer systems. While customer service can be challenging, it’s also rewarding when you receive positive customer feedback or a complimentary Google review mentioning your name. This is a full time position onsite in Potlatch, Idaho. We will provide the required training, but any existing customer service and computer skills you already have should help you succeed. To apply, go to https://werkz.com/Media/Werkz_Employment_Application.pdf, fill out the application, and email it back to jobs@werkz.com along with your resume and cover letter, if desired.",['Full-time'],hourly,salary,83855,1686099231,"We will train you in our products, and how to serve our customers.Previous customer service and computer system experience may be beneficial.Ideal candidate will want to grow with the company and help lead the customer service team to provide the best support in the industry.",Location-based,Customer communication via all channelsSummarize feedback and provide to other Werkz teamsIdentify and solve customer issues,[],Customer Service,"[46.9215603, -116.8982195]",Potlatch,ID,36400.0,42640.0
,,Convention of States,US,8223,[],"Organizational Overview:Convention of States Action is a 501(c)(4) grassroots nonprofit organization committed to restoring America by living out our mission of building a grassroots army of self-governing activists (www.conventionofstates.com). In doing so, we strive to call a Convention of States under Article V of the U.S. Constitution to propose amendments to limit federal power.Convention of States Action is now accepting applications for our Fall 2023 Intern Class! (September 2023- May 2024)The Emerging Leaders Program Intern is responsible for attending weekly meetings and completing weekly assignments related to Servant Leadership, Professional Development, Western Civilization, Statesmanship, and other topics. Additionally, this position will assist a member of our National Team and will complete weekly projects and assignments relating to the daily operations of Convention of States. The position reports to the ELP Coordinator. Duties may include tasks associated with Citizens for Self-Governance dba Convention of States Foundation. Our Emerging Leaders Program Interns are part-time, hourly.","['Part-time', 'Intern']",annual,salary,,1686083521,"Highly loyal and trustworthy with sensitive informationA good and effective communicatorHigh self-governanceHigh responsibility for completing tasksInnovative and creativeAbility to complete assignments and projects with quality and consistencyOccasional travel may be requiredEducation, Skills &amp; Experience:Communication &amp; Interpersonal – Effective verbal &amp; written communicatorSpecialized – Proficient in Professional Etiquette and Critical ThinkingEducation - No requirementTechnology: General proficiency with computer applications, e.g.: Slack, Trello, Zoom, Microsoft Word and Excel, GSuites, GMail, Google calendar, Google sheets, and Google Docs",Remote,"Completes weekly assignments related to Servant Leadership, Professional Development, Western Civilization, Statesmanship, and other topicsAttends weekly ELP meetingsAttends intern tripsCompletes assignments and projects for National Team supervisorOther duties as assigned",[],Emerging Leaders Program- Internship,,,,,
12714 151st St E,,FTS Excavation LLC,US,8221,"['Construction', 'Management', 'Skilled Labor']",FTS Excavation is recruiting a talented and experienced heavy equipment operator/superintendent to join our team as we grow as a business. We serve a wide range of clients from residential to commercial to public works with integrity.,['Full-time'],hourly,salary,98374,1686083428,5yr+ experience heavy equipment operatingExcavator operationTeam leadershipExcellent verbal and written communication,Location-based,"Assign crews to jobsManage jobs and make critical decisionsContribute to operations developmentProcure materials import and export for clientsOversee safety of employees, equipment, customers and propertyOperate excavators, skidsteers, dozers, backhoes, loaders, gradersAttend to basic equipment and vehicle maintenanceProperly load and unload and trailer equipmentComplete physically demanding tasks such as lifting, bending and shovelingCommunicate frequently and effectively with customers to ensure customer satisfaction",[],Heavy Equipment Operator and Superintendent ,"[47.1412122, -122.2701183]",South Hill,WA,83200.0,93600.0
,,Convention of States,US,8222,"['Admin-Clerical', 'Customer Service', 'Entry Level']","Organizational OverviewConvention of States Action is a 501(c)(4) grassroots nonprofit organization committed to restoring America by living out our mission of building a grassroots army of self-governing activists (www.conventionofstates.com). In doing so, we strive to call a Convention of States under Article V of the U.S. Constitution to propose amendments to limit federal power.Position OverviewConvention of States Action is looking for a Prospecting Agent to support the External Relations Team. The Prospecting Agent assists with fundraising and developing relationships with donors by scheduling meetings between prospects and COSA executives.",['Part-time'],hourly,salary,,1686083317,"Strong oral and written communication skillsWorking knowledge and experience with computer programs such as: Microsoft Office, GSuites (Google Calendar, Gmail, and Google Drive), Slack, Zoom, and SalesforceHighly loyal and trustworthy with a history of working in an environment where sensitive information is protected",Remote,"ResponsibilitiesInteract with staff members and donors in a virtual working environment through calls, emails, video calls, etc.Manage assigned prospecting lists and partner with the research team as appropriate to obtain information regarding potential prospectsCold-call prospects and/or their assigned contacts with a script and document communications in appropriate systemsEstablish trust and build rapport over the phone to secure meetings and/or contact informationMake timely follow-up contact with prospects who have not replied to initial messagingAssist External Relations team with other duties and projects as assigned",[],Part-Time Appointment Setter,,,,41600.0,45760.0
,,Flex Tech,US,8218,"['Construction', 'General Labor', 'Installation-Maint-Repair', 'Manufacturing', 'Security', 'Skilled Labor', 'Telecommunications', 'Warehouse']","LOW VOLTAGE POSITIONS READY FOR YOU!Have you ever worked within the Low Voltage industry?Do you have experience installing Structured Cabling?WE HAVE THE FOLLOWING POSITIONS AVAILABLE:Entry levelLevel 1, Level 2, &amp; Level 3 Tech positionsProject ManagerOperations ManagerGeneral ManagerEstimatorsDesign EstimatorWe have positions available all over the state of Texas, and neighboring states!We also have traveling positions for those of you that love to travel!If you are looking for a new start, you have found the right company!Pay Ranges depend on experience!",['Full-time'],annual,salary,,1686082419,"First and foremost, we require that you be an individual of Integrity, Accountability, and Trustworthiness to join our team.We work with talented techs who are interested in making a difference in the industry by putting quality first! Does this describe you? Whether you're a Lead Technician who is used to overseeing a crew, or a specialty tech who enjoys furthering their skills within a niche, we have a place for you!Stop spending time submitting resumes over the internet and let one of our recruiters, who has a solid relationship with the hiring manager, secure your new job for you!Don’t let another minute go by, MAKE THIS YOUR YEAR!Call Flex Tech Now! 972-623-3539",Location-based,Responsibilities depend on position you are applying for. Please call our office and we will be happy to secure your appointment with one of our recruiters. 972-623-3539,[],L1 Technician - Project Manager Available,"[32.7830556, -96.8066667]",Dallas,TX,41600.0,150000.0
